,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand
0,2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,0,85.73,Winter,0,115
100,2022-01-02,S001,P0001,Electronics,North,93,71,0,65.63,5,Snowy,0,73.66,Winter,0,84
200,2022-01-03,S001,P0001,Electronics,North,274,142,229,68.55,15,Snowy,1,80.73,Winter,0,132
300,2022-01-04,S001,P0001,Electronics,North,132,42,0,61.66,10,Snowy,0,54.88,Winter,0,67
400,2022-01-05,S001,P0001,Electronics,North,319,129,0,59.56,25,Snowy,1,57.34,Winter,0,110
500,2022-01-06,S001,P0001,Electronics,North,190,98,308,84.03,0,Sunny,0,95.54,Winter,0,146
600,2022-01-07,S001,P0001,Electronics,North,92,92,0,66.07,10,Snowy,0,63.57,Winter,0,87
700,2022-01-08,S001,P0001,Electronics,North,308,96,248,68.56,10,Snowy,1,80.99,Winter,0,113
800,2022-01-09,S001,P0001,Electronics,North,212,57,0,62.76,10,Sunny,0,67.11,Winter,0,87
900,2022-01-10,S001,P0001,Electronics,North,403,88,0,68.99,5,Cloudy,0,81.14,Winter,0,99
1000,2022-01-11,S001,P0001,Electronics,North,315,112,0,73.71,0,Cloudy,0,85.29,Winter,0,103
1100,2022-01-12,S001,P0001,Electronics,North,203,70,179,65.76,10,Snowy,0,60.13,Winter,0,85
1200,2022-01-13,S001,P0001,Electronics,North,133,80,0,54.01,20,Cloudy,1,61.35,Winter,0,77
1300,2022-01-14,S001,P0001,Electronics,North,232,52,0,58.29,5,Sunny,0,61.97,Winter,0,52
1400,2022-01-15,S001,P0001,Electronics,North,180,126,287,81.93,10,Sunny,1,95.61,Winter,0,175
1500,2022-01-16,S001,P0001,Electronics,North,54,54,298,71.17,10,Cloudy,0,81.1,Winter,0,126
1600,2022-01-17,S001,P0001,Electronics,North,287,73,0,61.85,20,Sunny,1,61.83,Winter,0,102
1700,2022-01-18,S001,P0001,Electronics,North,512,101,0,69.63,10,Cloudy,0,61.25,Winter,0,102
1800,2022-01-19,S001,P0001,Electronics,North,411,103,0,70.59,10,Cloudy,0,83.08,Winter,0,123
1900,2022-01-20,S001,P0001,Electronics,North,308,20,0,49.47,10,Snowy,0,58.54,Winter,0,25
