Date,Units Sold
2022-01-01,102
2022-01-02,71
2022-01-03,142
2022-01-04,42
2022-01-05,129
2022-01-06,98
2022-01-07,92
2022-01-08,96
2022-01-09,57
2022-01-10,88
2022-01-11,112
2022-01-12,70
2022-01-13,80
2022-01-14,52
2022-01-15,126
2022-01-16,54
2022-01-17,73
2022-01-18,101
2022-01-19,103
2022-01-20,20
2022-01-21,92
2022-01-22,87
2022-01-23,109
2022-01-24,29
2022-01-25,55
2022-01-26,147
2022-01-27,93
2022-01-28,201
2022-01-29,69
2022-01-30,73
2022-01-31,103
2022-02-01,102
2022-02-02,94
2022-02-03,41
2022-02-04,76
2022-02-05,81
2022-02-06,65
2022-02-07,74
2022-02-08,84
2022-02-09,83
2022-02-10,59
2022-02-11,108
2022-02-12,111
2022-02-13,65
2022-02-14,54
2022-02-15,109
2022-02-16,114
2022-02-17,66
2022-02-18,142
2022-02-19,41
2022-02-20,161
2022-02-21,135
2022-02-22,81
2022-02-23,167
2022-02-24,104
2022-02-25,111
2022-02-26,73
2022-02-27,141
2022-02-28,112
2022-03-01,89
2022-03-02,101
2022-03-03,111
2022-03-04,95
2022-03-05,87
2022-03-06,115
2022-03-07,94
2022-03-08,45
2022-03-09,195
2022-03-10,65
2022-03-11,32
2022-03-12,77
2022-03-13,75
2022-03-14,118
2022-03-15,129
2022-03-16,103
2022-03-17,92
2022-03-18,103
2022-03-19,75
2022-03-20,147
2022-03-21,74
2022-03-22,80
2022-03-23,90
2022-03-24,41
2022-03-25,107
2022-03-26,99
2022-03-27,111
2022-03-28,65
2022-03-29,130
2022-03-30,73
2022-03-31,121
2022-04-01,59
2022-04-02,111
2022-04-03,97
2022-04-04,89
2022-04-05,79
2022-04-06,65
2022-04-07,71
2022-04-08,69
2022-04-09,43
2022-04-10,131
2022-04-11,143
2022-04-12,132
2022-04-13,84
2022-04-14,106
2022-04-15,132
2022-04-16,93
2022-04-17,105
2022-04-18,68
2022-04-19,62
2022-04-20,116
2022-04-21,84
2022-04-22,59
2022-04-23,35
2022-04-24,30
2022-04-25,66
2022-04-26,40
2022-04-27,66
2022-04-28,62
2022-04-29,42
2022-04-30,29
2022-05-01,49
2022-05-02,24
2022-05-03,43
2022-05-04,64
2022-05-05,70
2022-05-06,35
2022-05-07,60
2022-05-08,49
2022-05-09,58
2022-05-10,29
2022-05-11,31
2022-05-12,44
2022-05-13,53
2022-05-14,36
2022-05-15,53
2022-05-16,67
2022-05-17,85
2022-05-18,46
2022-05-19,60
2022-05-20,42
2022-05-21,81
2022-05-22,70
2022-05-23,48
2022-05-24,19
2022-05-25,36
2022-05-26,72
2022-05-27,50
2022-05-28,86
2022-05-29,95
2022-05-30,57
2022-05-31,82
2022-06-01,145
2022-06-02,93
2022-06-03,44
2022-06-04,34
2022-06-05,45
2022-06-06,107
2022-06-07,55
2022-06-08,134
2022-06-09,74
2022-06-10,67
2022-06-11,100
2022-06-12,138
2022-06-13,52
2022-06-14,126
2022-06-15,82
2022-06-16,42
2022-06-17,113
2022-06-18,120
2022-06-19,123
2022-06-20,69
2022-06-21,126
2022-06-22,63
2022-06-23,44
2022-06-24,56
2022-06-25,58
2022-06-26,110
2022-06-27,62
2022-06-28,96
2022-06-29,27
2022-06-30,39
2022-07-01,45
2022-07-02,27
2022-07-03,48
2022-07-04,29
2022-07-05,35
2022-07-06,37
2022-07-07,46
2022-07-08,22
