Inventory Level,Units Sold,Units Ordered,Price,Discount,Competitor Pricing,Demand
195,102,252,72.72,5,85.73,115
117,117,249,80.16,15,92.02,229
247,114,612,62.94,10,60.08,157
139,45,102,87.63,10,85.19,52
152,65,271,54.41,0,51.63,59
209,60,0,35.53,0,40.01,55
118,81,335,23.27,5,24.78,94
244,42,0,37.79,5,44.85,61
115,88,139,94.2,5,108.7,129
192,70,300,113.35,10,129.98,69
215,51,142,156.34,0,188.96,64
289,121,215,84.48,0,92.02,104
279,113,0,33.1,5,39.11,110
252,121,479,80.13,10,92.24,165
119,55,74,14.39,5,13.59,64
103,78,372,38.79,10,35.14,115
128,59,0,21.21,0,22.73,75
281,78,0,54.4,5,54.1,66
281,61,0,95.56,10,103.05,58
266,36,0,100.47,5,115.24,43
102,102,331,90.89,0,81.87,118
193,119,192,25.68,25,30.95,105
187,167,596,95.17,10,84.24,171
160,111,339,39.54,10,46.57,110
155,103,334,92.35,0,104.72,94
198,79,0,64.0,5,57.37,88
233,89,226,25.47,10,30.08,93
124,124,99,25.63,5,29.79,112
131,131,260,64.84,10,68.68,145
242,118,194,117.17,5,106.37,195
206,49,191,84.71,10,76.07,79
197,78,413,78.86,0,69.84,122
152,93,331,21.76,10,21.12,109
153,69,289,100.18,10,108.96,63
106,70,457,65.19,10,64.23,96
113,113,323,111.87,5,118.76,194
153,72,196,18.89,5,18.27,65
126,69,86,27.67,0,26.08,79
164,82,391,83.09,10,74.12,96
126,43,132,125.8,0,110.88,53
182,109,193,16.85,10,15.48,112
290,56,236,50.42,10,45.94,82
122,122,127,83.17,20,72.09,126
203,122,518,26.29,5,30.05,158
253,40,212,19.8,5,17.3,57
227,106,0,44.64,0,50.46,136
247,123,552,18.65,0,21.62,142
297,61,0,113.01,0,126.44,89
226,96,0,56.32,5,66.33,126
167,70,127,36.21,10,39.87,106
159,157,293,131.16,10,139.75,149
126,58,131,105.94,0,103.35,80
105,105,743,86.78,10,78.8,176
271,27,0,61.69,25,53.36,44
166,131,500,98.46,10,104.52,133
292,80,0,94.11,10,107.33,108
204,53,380,112.23,10,133.9,82
289,56,316,134.95,5,125.53,75
201,109,0,59.71,0,70.74,123
250,41,270,65.81,5,57.66,61
215,85,287,10.47,0,11.51,81
283,67,0,19.12,10,20.62,112
161,92,407,134.16,20,117.74,114
168,88,252,51.64,0,57.32,86
289,197,0,89.23,10,77.73,183
206,48,162,35.33,0,34.77,73
185,43,253,24.34,5,26.46,65
281,59,0,100.64,0,118.02,80
206,106,299,110.47,5,122.04,98
223,120,597,30.02,0,29.15,128
195,60,293,52.89,0,62.29,61
111,111,113,118.15,0,133.46,103
136,104,385,20.24,10,18.9,110
110,52,122,148.46,10,178.25,70
249,42,0,86.47,5,81.87,44
155,74,218,110.39,10,101.16,71
232,65,0,84.83,10,94.7,85
165,64,0,141.31,10,150.73,67
146,125,103,56.86,10,64.61,111
290,52,0,124.97,10,110.39,76
182,75,198,11.46,5,9.92,84
131,131,474,48.68,10,51.85,186
247,145,0,29.57,20,26.3,143
195,143,114,7.45,10,8.33,121
187,126,344,20.02,0,18.12,148
280,59,300,53.49,5,52.34,67
297,74,0,82.73,0,79.8,85
229,165,0,73.42,0,84.61,149
270,59,268,94.75,0,112.34,94
132,132,436,70.86,0,63.54,136
220,17,0,62.12,0,55.78,15
230,71,371,133.86,5,118.2,84
145,82,328,71.03,10,78.02,116
193,63,219,161.18,10,156.66,82
132,108,203,44.36,10,52.84,93
131,59,191,32.84,0,39.5,76
159,89,73,33.04,10,37.53,88
245,68,0,22.41,0,22.24,88
202,42,0,119.15,10,102.4,47
131,79,105,28.66,10,34.32,104
93,71,0,65.63,5,73.66,84
249,116,0,74.44,10,87.66,175
133,130,0,66.15,0,74.15,156
94,82,183,91.64,10,105.17,78
87,87,487,63.35,0,61.2,103
149,77,172,36.93,5,32.24,65
37,37,497,27.22,0,31.11,127
202,37,0,37.38,5,42.34,58
166,133,107,93.21,10,83.66,126
122,105,498,129.03,10,139.76,107
164,152,264,175.19,10,187.65,130
168,168,397,96.27,10,109.41,187
166,73,90,32.72,10,28.94,107
131,81,0,70.94,0,66.18,75
138,117,109,15.17,10,16.81,110
25,25,0,35.58,0,30.98,59
69,33,50,17.76,10,16.08,42
203,172,155,66.33,10,56.8,144
220,35,0,93.29,10,99.51,52
230,93,432,119.87,10,111.8,92
0,0,350,86.71,10,85.0,137
74,61,0,31.7,0,36.09,82
20,20,0,66.64,10,61.22,58
49,40,0,36.7,5,35.23,59
52,52,412,98.83,5,94.92,115
119,116,137,66.76,10,59.62,117
144,95,0,30.0,0,28.44,95
99,99,153,29.35,0,34.68,140
0,0,263,74.78,0,83.48,158
318,179,0,101.56,25,98.18,234
157,135,474,91.4,15,109.66,137
119,75,511,65.63,15,56.85,115
59,45,0,20.47,0,22.07,75
84,84,564,134.04,10,124.77,135
36,36,604,65.22,20,71.11,152
0,0,260,107.38,0,114.77,159
81,63,323,18.69,10,20.42,92
143,74,87,26.16,5,31.4,92
82,66,439,93.88,0,85.41,101
83,77,214,134.4,0,124.57,70
73,73,0,15.76,5,16.81,91
234,175,548,63.12,10,55.32,154
127,125,160,109.88,0,107.36,145
81,39,0,19.9,0,22.28,56
213,59,0,20.05,10,17.73,75
121,70,96,40.69,0,39.79,91
124,124,0,16.3,10,19.56,132
236,121,306,132.2,5,148.43,156
130,78,86,52.56,10,51.15,105
224,92,0,32.73,20,32.0,96
2,2,386,113.61,25,126.49,163
68,62,224,90.21,15,106.9,95
0,0,0,69.14,0,72.85,83
244,52,0,84.21,0,83.63,50
35,35,622,100.93,20,120.1,185
212,126,289,126.78,0,110.11,156
151,37,0,107.38,5,92.46,42
233,65,0,127.98,10,148.9,90
92,92,95,56.72,5,55.93,107
209,60,0,73.57,5,62.9,92
130,130,734,12.67,10,11.95,160
216,121,225,23.71,0,21.48,131
69,69,0,142.86,5,134.09,81
80,20,0,38.88,5,44.68,26
92,92,152,83.84,10,88.73,178
158,149,268,40.95,5,34.97,134
142,142,563,36.85,0,35.75,164
222,28,0,84.29,5,90.72,46
100,100,494,120.17,10,135.44,142
103,103,0,23.81,20,26.5,142
135,130,688,64.39,25,58.88,205
113,90,71,94.35,15,102.02,84
32,32,501,24.95,0,23.75,144
58,58,185,175.28,0,193.4,87
207,72,200,74.92,20,82.61,65
81,67,0,122.71,0,148.34,86
167,99,149,117.24,0,111.57,138
101,94,104,169.09,5,163.21,87
124,124,162,66.93,5,79.53,148
238,56,0,114.9,5,133.94,53
107,81,0,11.7,0,10.06,75
0,0,0,40.81,10,38.43,106
102,87,109,29.13,10,28.91,100
166,77,109,7.79,10,7.23,119
61,61,0,15.31,10,13.22,95
221,122,540,56.83,10,60.46,116
223,3,0,56.72,0,64.26,4
64,64,103,58.77,10,55.01,94
211,80,0,103.03,0,88.63,104
0,0,629,72.29,10,64.1,182
203,51,260,57.17,20,64.73,62
159,117,439,131.02,10,157.89,110
63,63,319,75.5,5,89.57,118
130,47,0,160.24,5,152.98,65
24,24,192,45.46,15,49.28,118
72,72,209,35.13,0,34.06,81
143,61,0,31.63,5,35.51,60
177,177,239,28.59,10,27.16,211
160,37,113,119.41,10,139.55,61
157,56,0,26.62,10,23.56,68
274,142,229,68.55,15,80.73,132
133,92,118,78.32,0,77.58,137
3,3,0,51.3,10,56.0,106
114,55,0,91.74,5,105.94,63
0,0,761,58.17,25,57.29,172
72,72,281,36.37,15,36.01,92
0,0,0,23.81,5,25.21,101
165,56,0,42.35,0,38.38,64
140,88,109,98.1,0,86.64,109
17,17,0,138.64,0,124.61,82
154,62,0,152.23,10,175.99,86
215,165,0,88.83,20,97.64,201
183,47,0,29.75,0,35.18,64
50,50,0,81.49,5,79.61,134
130,92,80,16.43,0,14.9,86
0,0,553,45.61,15,40.77,193
86,59,94,22.74,0,21.56,80
186,134,115,72.12,0,65.71,137
185,48,0,104.22,10,95.66,68
137,85,0,94.75,25,86.97,77
0,0,0,84.32,20,92.33,189
205,64,166,33.62,5,30.87,100
0,0,0,69.5,10,79.43,84
9,9,0,37.8,0,37.38,53
0,0,0,103.86,10,91.4,150
140,140,172,67.06,25,64.59,184
49,49,300,27.9,0,33.63,89
153,126,155,30.53,0,36.87,154
260,134,0,68.23,10,64.5,145
139,116,107,86.08,10,81.12,105
22,22,0,109.82,0,124.57,144
44,44,0,70.05,20,59.81,158
14,14,0,18.11,10,21.08,70
0,0,0,125.35,10,120.17,113
0,0,0,74.64,10,83.24,158
323,113,0,69.5,25,74.88,109
18,18,0,20.44,0,23.47,87
156,96,121,29.14,10,24.82,127
16,16,0,96.98,5,109.82,145
6,6,0,82.98,25,73.24,22
193,117,316,18.83,10,20.46,168
59,59,0,60.46,0,57.57,104
162,162,197,102.13,10,118.42,175
42,42,0,20.88,10,24.94,99
154,48,0,17.78,15,21.3,72
147,27,0,28.63,15,25.6,40
0,0,0,16.06,5,19.09,109
115,114,0,123.69,10,119.72,134
138,126,156,56.93,10,48.4,131
132,127,173,52.41,5,48.68,200
293,62,0,105.49,5,125.46,65
137,137,306,93.48,25,98.69,148
0,0,681,94.01,0,89.45,166
192,64,244,89.29,5,95.52,95
0,0,0,81.54,0,91.17,47
86,86,0,87.62,25,76.74,127
114,51,0,114.31,0,127.68,58
168,43,0,125.69,5,151.98,70
95,95,139,65.05,0,58.48,134
149,149,753,77.03,20,84.13,184
0,0,0,12.83,15,15.38,207
95,75,0,18.58,10,17.47,88
0,0,374,126.27,20,149.23,111
60,54,229,55.0,0,52.98,90
152,125,123,71.68,15,63.8,125
171,92,0,29.24,25,33.69,118
0,0,0,29.23,0,28.51,88
194,86,0,98.36,10,96.97,89
0,0,0,128.21,0,149.55,129
0,0,0,25.38,10,26.82,124
5,5,0,69.83,10,66.82,166
94,94,163,114.62,25,112.97,173
0,0,0,22.69,0,19.79,113
122,61,0,151.73,10,148.19,62
135,67,0,85.0,10,97.01,67
14,14,365,116.65,10,139.43,102
217,98,144,105.0,5,120.75,136
111,111,133,185.13,10,183.17,133
162,82,0,55.99,0,67.46,75
182,71,204,111.07,25,95.71,95
224,98,190,10.87,15,11.79,117
0,0,0,38.42,10,41.22,104
124,99,141,29.53,10,33.0,120
198,48,0,6.37,10,6.14,60
344,126,0,15.19,20,14.86,130
