Date,Total_Items,Promo_Items,Promo_Ratio
2022-01-01,20,3,0.15
2022-01-02,20,4,0.2
2022-01-03,20,7,0.35
2022-01-04,20,9,0.45
2022-01-05,20,14,0.7
2022-01-06,20,5,0.25
2022-01-07,20,8,0.4
2022-01-08,20,12,0.6
2022-01-09,20,3,0.15
2022-01-10,20,6,0.3
2022-01-11,20,8,0.4
2022-01-12,20,8,0.4
2022-01-13,20,8,0.4
2022-01-14,20,6,0.3
2022-01-15,20,6,0.3
2022-01-16,20,7,0.35
2022-01-17,20,9,0.45
2022-01-18,20,9,0.45
2022-01-19,20,5,0.25
2022-01-20,20,8,0.4
2022-01-21,20,7,0.35
2022-01-22,20,10,0.5
2022-01-23,20,7,0.35
2022-01-24,20,8,0.4
2022-01-25,20,5,0.25
2022-01-26,20,7,0.35
2022-01-27,20,7,0.35
2022-01-28,20,4,0.2
2022-01-29,20,0,0.0
2022-01-30,20,0,0.0
2022-01-31,20,0,0.0
2022-02-01,20,10,0.5
2022-02-02,20,10,0.5
2022-02-03,20,12,0.6
2022-02-04,20,4,0.2
2022-02-05,20,7,0.35
2022-02-06,20,5,0.25
2022-02-07,20,7,0.35
2022-02-08,20,8,0.4
2022-02-09,20,6,0.3
2022-02-10,20,6,0.3
2022-02-11,20,3,0.15
2022-02-12,20,6,0.3
2022-02-13,20,8,0.4
2022-02-14,20,13,0.65
2022-02-15,20,9,0.45
2022-02-16,20,7,0.35
2022-02-17,20,6,0.3
2022-02-18,20,4,0.2
2022-02-19,20,6,0.3
2022-02-20,20,8,0.4
2022-02-21,20,8,0.4
2022-02-22,20,4,0.2
2022-02-23,20,8,0.4
2022-02-24,20,8,0.4
2022-02-25,20,5,0.25
2022-02-26,20,5,0.25
2022-02-27,20,11,0.55
2022-02-28,20,6,0.3
2022-03-01,20,7,0.35
2022-03-02,20,4,0.2
2022-03-03,20,7,0.35
2022-03-04,20,7,0.35
2022-03-05,20,7,0.35
2022-03-06,20,6,0.3
2022-03-07,20,8,0.4
2022-03-08,20,6,0.3
2022-03-09,20,8,0.4
2022-03-10,20,7,0.35
2022-03-11,20,7,0.35
2022-03-12,20,9,0.45
2022-03-13,20,6,0.3
2022-03-14,20,5,0.25
2022-03-15,20,9,0.45
2022-03-16,20,9,0.45
2022-03-17,20,8,0.4
2022-03-18,20,7,0.35
2022-03-19,20,6,0.3
2022-03-20,20,8,0.4
2022-03-21,20,4,0.2
2022-03-22,20,6,0.3
2022-03-23,20,6,0.3
2022-03-24,20,5,0.25
2022-03-25,20,11,0.55
2022-03-26,20,10,0.5
2022-03-27,20,9,0.45
2022-03-28,20,8,0.4
2022-03-29,20,0,0.0
2022-03-30,20,0,0.0
2022-03-31,20,0,0.0
2022-04-01,20,9,0.45
2022-04-02,20,7,0.35
2022-04-03,20,6,0.3
2022-04-04,20,9,0.45
2022-04-05,20,7,0.35
2022-04-06,20,11,0.55
2022-04-07,20,8,0.4
2022-04-08,20,11,0.55
2022-04-09,20,6,0.3
2022-04-10,20,3,0.15
2022-04-11,20,9,0.45
2022-04-12,20,11,0.55
2022-04-13,20,7,0.35
2022-04-14,20,4,0.2
2022-04-15,20,6,0.3
2022-04-16,20,7,0.35
2022-04-17,20,7,0.35
2022-04-18,20,6,0.3
2022-04-19,20,10,0.5
2022-04-20,20,6,0.3
2022-04-21,20,8,0.4
2022-04-22,20,3,0.15
2022-04-23,20,4,0.2
2022-04-24,20,9,0.45
2022-04-25,20,8,0.4
2022-04-26,20,4,0.2
2022-04-27,20,6,0.3
2022-04-28,20,8,0.4
2022-04-29,20,0,0.0
2022-04-30,20,0,0.0
2022-05-01,20,10,0.5
2022-05-02,20,5,0.25
2022-05-03,20,4,0.2
2022-05-04,20,7,0.35
2022-05-05,20,4,0.2
2022-05-06,20,9,0.45
2022-05-07,20,5,0.25
2022-05-08,20,6,0.3
2022-05-09,20,4,0.2
2022-05-10,20,6,0.3
2022-05-11,20,6,0.3
2022-05-12,20,7,0.35
2022-05-13,20,7,0.35
2022-05-14,20,9,0.45
2022-05-15,20,9,0.45
2022-05-16,20,6,0.3
2022-05-17,20,8,0.4
2022-05-18,20,8,0.4
2022-05-19,20,9,0.45
2022-05-20,20,11,0.55
2022-05-21,20,8,0.4
2022-05-22,20,4,0.2
2022-05-23,20,7,0.35
2022-05-24,20,7,0.35
2022-05-25,20,10,0.5
2022-05-26,20,8,0.4
2022-05-27,20,10,0.5
2022-05-28,20,6,0.3
2022-05-29,20,0,0.0
2022-05-30,20,0,0.0
2022-05-31,20,0,0.0
2022-06-01,20,10,0.5
2022-06-02,20,5,0.25
2022-06-03,20,6,0.3
2022-06-04,20,7,0.35
2022-06-05,20,4,0.2
2022-06-06,20,5,0.25
2022-06-07,20,4,0.2
2022-06-08,20,9,0.45
2022-06-09,20,7,0.35
2022-06-10,20,7,0.35
2022-06-11,20,6,0.3
2022-06-12,20,6,0.3
2022-06-13,20,7,0.35
2022-06-14,20,4,0.2
2022-06-15,20,11,0.55
2022-06-16,20,9,0.45
2022-06-17,20,6,0.3
2022-06-18,20,9,0.45
2022-06-19,20,9,0.45
2022-06-20,20,10,0.5
2022-06-21,20,6,0.3
2022-06-22,20,10,0.5
2022-06-23,20,6,0.3
2022-06-24,20,7,0.35
2022-06-25,20,7,0.35
2022-06-26,20,12,0.6
2022-06-27,20,5,0.25
2022-06-28,20,6,0.3
2022-06-29,20,0,0.0
2022-06-30,20,0,0.0
2022-07-01,20,5,0.25
2022-07-02,20,7,0.35
2022-07-03,20,7,0.35
2022-07-04,20,5,0.25
2022-07-05,20,9,0.45
2022-07-06,20,6,0.3
2022-07-07,20,7,0.35
2022-07-08,20,5,0.25
2022-07-09,20,9,0.45
2022-07-10,20,6,0.3
2022-07-11,20,8,0.4
2022-07-12,20,5,0.25
2022-07-13,20,6,0.3
2022-07-14,20,8,0.4
2022-07-15,20,8,0.4
2022-07-16,20,6,0.3
2022-07-17,20,8,0.4
2022-07-18,20,2,0.1
2022-07-19,20,5,0.25
2022-07-20,20,5,0.25
2022-07-21,20,6,0.3
2022-07-22,20,11,0.55
2022-07-23,20,11,0.55
2022-07-24,20,10,0.5
2022-07-25,20,9,0.45
2022-07-26,20,10,0.5
2022-07-27,20,10,0.5
2022-07-28,20,6,0.3
2022-07-29,20,0,0.0
2022-07-30,20,0,0.0
2022-07-31,20,0,0.0
2022-08-01,20,4,0.2
2022-08-02,20,10,0.5
2022-08-03,20,8,0.4
2022-08-04,20,8,0.4
2022-08-05,20,7,0.35
2022-08-06,20,5,0.25
2022-08-07,20,8,0.4
2022-08-08,20,8,0.4
2022-08-09,20,8,0.4
2022-08-10,20,7,0.35
2022-08-11,20,5,0.25
2022-08-12,20,6,0.3
2022-08-13,20,6,0.3
2022-08-14,20,7,0.35
2022-08-15,20,7,0.35
2022-08-16,20,9,0.45
2022-08-17,20,6,0.3
2022-08-18,20,7,0.35
2022-08-19,20,8,0.4
2022-08-20,20,7,0.35
2022-08-21,20,7,0.35
2022-08-22,20,6,0.3
2022-08-23,20,5,0.25
2022-08-24,20,7,0.35
2022-08-25,20,9,0.45
2022-08-26,20,9,0.45
2022-08-27,20,6,0.3
2022-08-28,20,10,0.5
2022-08-29,20,0,0.0
2022-08-30,20,0,0.0
2022-08-31,20,0,0.0
2022-09-01,20,11,0.55
2022-09-02,20,7,0.35
2022-09-03,20,5,0.25
2022-09-04,20,9,0.45
2022-09-05,20,6,0.3
2022-09-06,20,8,0.4
2022-09-07,20,5,0.25
2022-09-08,20,8,0.4
2022-09-09,20,10,0.5
2022-09-10,20,3,0.15
2022-09-11,20,8,0.4
2022-09-12,20,3,0.15
2022-09-13,20,5,0.25
2022-09-14,20,9,0.45
2022-09-15,20,8,0.4
2022-09-16,20,8,0.4
2022-09-17,20,8,0.4
2022-09-18,20,9,0.45
2022-09-19,20,9,0.45
2022-09-20,20,4,0.2
2022-09-21,20,11,0.55
2022-09-22,20,9,0.45
2022-09-23,20,5,0.25
2022-09-24,20,4,0.2
2022-09-25,20,6,0.3
2022-09-26,20,7,0.35
2022-09-27,20,6,0.3
2022-09-28,20,9,0.45
2022-09-29,20,0,0.0
2022-09-30,20,0,0.0
2022-10-01,20,5,0.25
2022-10-02,20,7,0.35
2022-10-03,20,4,0.2
2022-10-04,20,4,0.2
2022-10-05,20,8,0.4
2022-10-06,20,7,0.35
2022-10-07,20,9,0.45
2022-10-08,20,7,0.35
2022-10-09,20,8,0.4
2022-10-10,20,7,0.35
2022-10-11,20,8,0.4
2022-10-12,20,6,0.3
2022-10-13,20,9,0.45
2022-10-14,20,9,0.45
2022-10-15,20,9,0.45
