,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic
0,2022/1/1,S001,P0001,Electronics,North,195,102,252,115,72.72,5,Snowy,0,85.73,Winter,0
100,2022/1/2,S001,P0001,Electronics,North,93,71,0,84,65.63,5,Snowy,0,73.66,Winter,0
200,2022/1/3,S001,P0001,Electronics,North,274,142,229,132,68.55,15,Snowy,1,80.73,Winter,0
300,2022/1/4,S001,P0001,Electronics,North,132,42,0,67,61.66,10,Snowy,0,54.88,Winter,0
400,2022/1/5,S001,P0001,Electronics,North,319,129,0,110,59.56,25,Snowy,1,57.34,Winter,0
500,2022/1/6,S001,P0001,Electronics,North,190,98,308,146,84.03,0,Sunny,0,95.54,Winter,0
600,2022/1/7,S001,P0001,Electronics,North,92,92,0,87,66.07,10,Snowy,0,63.57,Winter,0
700,2022/1/8,S001,P0001,Electronics,North,308,96,248,113,68.56,10,Snowy,1,80.99,Winter,0
800,2022/1/9,S001,P0001,Electronics,North,212,57,0,87,62.76,10,Sunny,0,67.11,Winter,0
900,2022/1/10,S001,P0001,Electronics,North,403,88,0,99,68.99,5,Cloudy,0,81.14,Winter,0
1000,2022/1/11,S001,P0001,Electronics,North,315,112,0,103,73.71,0,Cloudy,0,85.29,Winter,0
1100,2022/1/12,S001,P0001,Electronics,North,203,70,179,85,65.76,10,Snowy,0,60.13,Winter,0
1200,2022/1/13,S001,P0001,Electronics,North,133,80,0,77,54.01,20,Cloudy,1,61.35,Winter,0
1300,2022/1/14,S001,P0001,Electronics,North,232,52,0,52,58.29,5,Sunny,0,61.97,Winter,0
1400,2022/1/15,S001,P0001,Electronics,North,180,126,287,175,81.93,10,Sunny,1,95.61,Winter,0
1500,2022/1/16,S001,P0001,Electronics,North,54,54,298,126,71.17,10,Cloudy,0,81.1,Winter,0
1600,2022/1/17,S001,P0001,Electronics,North,287,73,0,102,61.85,20,Sunny,1,61.83,Winter,0
1700,2022/1/18,S001,P0001,Electronics,North,512,101,0,102,69.63,10,Cloudy,0,61.25,Winter,0
1800,2022/1/19,S001,P0001,Electronics,North,411,103,0,123,70.59,10,Cloudy,0,83.08,Winter,0
1900,2022/1/20,S001,P0001,Electronics,North,308,20,0,25,49.47,10,Snowy,0,58.54,Winter,0
2000,2022/1/21,S001,P0001,Electronics,North,288,92,0,90,66.74,10,Sunny,0,63.13,Winter,0
2100,2022/1/22,S001,P0001,Electronics,North,196,87,181,102,77.18,0,Sunny,0,74.8,Winter,0
2200,2022/1/23,S001,P0001,Electronics,North,109,109,276,126,70.74,15,Snowy,1,65.08,Winter,0
2300,2022/1/24,S001,P0001,Electronics,North,181,29,0,44,46.98,25,Snowy,1,45.06,Winter,0
2400,2022/1/25,S001,P0001,Electronics,North,428,55,0,61,60.18,10,Snowy,0,56,Winter,0
2500,2022/1/26,S001,P0001,Electronics,North,373,147,331,160,68.86,25,Cloudy,1,61.97,Winter,0
2600,2022/1/27,S001,P0001,Electronics,North,226,93,0,87,62.8,10,Cloudy,0,70.46,Winter,0
2700,2022/1/28,S001,P0001,Electronics,North,464,201,343,194,80.4,20,Sunny,1,73.36,Winter,0
2800,2022/1/29,S001,P0001,Electronics,North,263,69,0,81,65,5,Sunny,0,77.11,Winter,0
2900,2022/1/30,S001,P0001,Electronics,North,537,73,0,79,71.59,0,Cloudy,0,69.69,Winter,0
3000,2022/1/31,S001,P0001,Electronics,North,464,103,0,113,72.1,10,Cloudy,0,70.23,Winter,0
3100,2022/2/1,S001,P0001,Electronics,North,361,102,0,90,70.53,5,Snowy,0,66.56,Winter,0
3200,2022/2/2,S001,P0001,Electronics,North,259,94,215,94,60.16,20,Cloudy,1,54.96,Winter,0
3300,2022/2/3,S001,P0001,Electronics,North,165,41,0,66,64.73,5,Cloudy,0,56.97,Winter,0
3400,2022/2/4,S001,P0001,Electronics,North,339,76,0,119,69.7,10,Snowy,1,81.05,Winter,0
3500,2022/2/5,S001,P0001,Electronics,North,263,81,0,81,64.98,5,Sunny,0,76.39,Winter,0
3600,2022/2/6,S001,P0001,Electronics,North,182,65,124,61,66.85,0,Sunny,0,65.43,Winter,0
3700,2022/2/7,S001,P0001,Electronics,North,117,74,0,65,61.3,5,Snowy,0,70.26,Winter,0
3800,2022/2/8,S001,P0001,Electronics,North,167,84,298,135,76.98,10,Snowy,0,68.59,Winter,0
